confident,lead,flagship_line,alias_terms,code,score,runner_up,reasons,keys
false,1010,1010 MARGARITA,1010 margarita,101020,2,1010 PINA COLADA (2),sizes:1|flavors:1,1010|1010 mojito|1010 margarita|1010 mango|1010 pina
false,10th,10TH MOUNTAIN BRANDY,10th mountain brandy,34004,10,10TH MOUNTAIN BOURBON (10),sizes:1,10th|10th mountain
false,123,123 ORGANIC DOS REPOSADO,123 organic dos reposado,23617,10,123 ORGANIC DIABLITO EX ANEJO (10),sizes:1,123|123 organic
false,13th,13TH COLONY SOUTHERN GIN,13th colony southern gin,35848,30,13TH COLONY SOUTHERN VODKA (30),sizes:3,13th|13th colony
false,15,15 STARS THREE PORTS,15 stars three ports,100962,10,15 STARS TRIPLE CASK (10),sizes:1,
false,1776,1776 RYE,1776 rye,14555,10,1776 BOURBON (10),sizes:1,1776|1776 rye
false,1800,1800 BLANCO,1800 blanco,1678,70,1800 REPOSADO (70),sizes:7,1800|1800 milenio|1800 coconut|1800 reposado|1800 blanco|1800 cristalino|1800 anejo|1800 cucumber|1800 guachimonton
false,1835,1835 HONEY BOURBON WHISKEY,1835 honey bourbon whiskey,21478,2,1835 CHERRY BOURBON WHISKEY (2),sizes:1|flavors:1,1835|1835 cherry|1835 cinnamon|1835 honey
false,1887,1887 GRAND BOURBON,1887 grand bourbon,29101,20,1887 GRAND RYE WHISKEY (20),sizes:2,1887|1887 grand
false,1921,1921 ANEJO TEQUILA,1921 anejo tequila,13986,10,1921 REPOSADO TEQUILA (10),sizes:1,1921|1921 anejo|1921 reposado|1921 cream
false,1933,1933 MACLEOD S PX SHRRY CSK SM,1933 macleod px shrry csk,35250,10,1933 MACLEOD S SHRY CSK SM 12Y (10),sizes:1,1933|1933 macleod
false,2xo,2XO FRENCH OAK,2xo french oak,31986,10,2XO AMERICAN OAK (10),sizes:1,2xo|2xo rapper|2xo american|2xo gem|2xo the|2xo french
false,3,3 TRES ANEJO TEQUILA,tres anejo tequila,26554,20,3 TRES BLANCO TEQUILA (20),sizes:2,
false,360,360 VODKA,360 vodka,4382,30,360 DOUBLE CHOCOLATE (30),sizes:3,360|360 bing|360 double|360 georgia|360 sorrento|360 red|360 madagascar|360 grape|360 mango|360 pineapple|360 blue|360 lime|360 mandarin|360 huckleberry
false,400,400 CONEJOS ANEJO,400 conejos anejo,31792,10,400 CONEJOS REPOSADO (10),sizes:1,400|400 conejos
